shape,size,depth,hardware_type,Energy test,Accuracy test,Loss test
exponential,8192.0,3.0,cpu1,758834.125,0.93825,0.225367
exponential,8192.0,3.0,gpu1,2057937.25,0.93825,0.225367
exponential,8192.0,4.0,cpu1,825558.6875,0.93760717,0.23043407
exponential,8192.0,4.0,gpu2,2011477.75,0.93760717,0.23043407
exponential,8192.0,5.0,cpu1,865045.0,0.9352857,0.24316433
exponential,8192.0,5.0,gpu1,2017172.625,0.9352857,0.24316433
exponential,8192.0,7.0,cpu1,994626.125,0.9308928,0.26243278
exponential,8192.0,7.0,gpu1,2131205.25,0.9308928,0.26243278
exponential,8192.0,8.0,cpu1,1145882.125,0.92475,0.2892128
exponential,8192.0,8.0,gpu2,2201810.5,0.92475,0.2892128
exponential,8192.0,9.0,cpu2,1203163.5,0.92389286,0.2987497
exponential,8192.0,9.0,gpu1,2273363.5,0.92389286,0.2987497
exponential,8192.0,10.0,cpu1,1186024.125,0.9161786,0.331047
exponential,8192.0,10.0,gpu1,2302907.75,0.9161786,0.331047
exponential,8192.0,12.0,cpu1,1254297.5,0.9118214,0.35881874
exponential,8192.0,12.0,gpu1,2511190.5,0.9118214,0.35881874
exponential,8192.0,14.0,cpu1,1601234.75,0.9073571,0.37777779
exponential,8192.0,14.0,gpu1,2346660.25,0.9073571,0.37777779
exponential,8192.0,16.0,cpu1,1529689.25,0.90435714,0.42275044
exponential,8192.0,16.0,gpu1,2518306.25,0.90435714,0.42275044
exponential,8192.0,18.0,cpu1,1937736.125,0.9057857,0.425066
exponential,8192.0,18.0,gpu1,2592832.5,0.9057857,0.425066
exponential,16384.0,3.0,cpu1,801138.125,0.9556429,0.16101132
exponential,16384.0,4.0,cpu1,928281.1875,0.9555714,0.1619225
exponential,16384.0,4.0,gpu1,2135347.0,0.9555714,0.1619225
exponential,16384.0,5.0,cpu1,745536.125,0.95264286,0.1752458
exponential,16384.0,5.0,gpu1,2063110.5,0.95264286,0.1752458
