Model,Pretrained,Accuracy train,Accuracy val,Accuracy test,Loss train,Loss val,Loss test,Energy train,Energy test
VGG16 BatchNorm,False,0.9459,0.55765,0.5158,0.1654276226520538,2.6174345373153685,2.8627242710113525,1849382.0078703242,4389.49398322476
VGG16 BatchNorm,True,0.6766,0.5838,0.4812,1.1011000301678977,1.4875824641227722,1.988162308883667,3683090.8602425996,4355.55619187256
VGG16,False,0.9840666666666668,0.3553,0.3201,0.0561413142472505,3.5315314453125,3.7154997566223145,1060968.230470261,3686.29431713568
VGG16,True,0.7527,0.6444500000000001,0.6147,0.8031274306297302,1.2418911858558654,1.3499985387802125,2835079.200368016,3705.5923559056796
VGG16 BatchNorm,False,0.9403666666666668,0.54395,0.4976,0.1830099929014841,2.543723234176636,2.842273106384277,1804428.8759520764,4360.00594214556
VGG16 BatchNorm,True,0.6822,0.5827,0.4754,1.083414450740814,1.4964834981918336,2.016838579940796,3934330.550387462,4370.25595571892
VGG16,False,0.9861333333333334,0.34745,0.3161,0.051663580238074,4.195866662216186,4.445053922271729,1100233.9075990154,3714.18366493656
VGG16,True,0.7548,0.64315,0.6142000000000001,0.7981027153333028,1.2471840507507324,1.3530705095291138,2797042.2768304036,3703.1498837287204
VGG16 BatchNorm,False,0.9311333333333334,0.5238,0.4667,0.2138289356390635,2.496971608734131,2.930261492919922,1702790.0457739448,4377.05614161396
VGG16 BatchNorm,True,0.6882,0.57925,0.4801,1.0637848752975465,1.507674948310852,2.029497483062744,4387598.617037909,4351.3072852176
VGG16,False,0.983,0.3469,0.3177,0.0556559182941913,4.15305320854187,4.277595553207397,1060695.4949691624,3723.4671943276803
VGG16,True,0.7618,0.6429,0.6199,0.7777732678413392,1.262578014755249,1.3397930067062378,3096123.5307828803,3699.4757903982004
VGG16,False,0.9850333333333334,0.34695,0.3055,0.0539316970964272,4.328688687133789,4.605386814880371,1100357.285936012,3683.7213468678
VGG16 BatchNorm,False,0.9390333333333334,0.54865,0.4945,0.1906813127040863,2.3468989585876465,2.7890969806671144,1753663.0799506796,4352.58917687016
VGG16 BatchNorm,True,0.6819333333333334,0.5810500000000001,0.4751,1.078375101439158,1.4948977199554443,2.033262578582764,4272296.069246343,4347.21600660672
VGG16,False,0.9811333333333334,0.3404,0.3047,0.0640494601309299,4.7458003120422365,4.867128778076172,1099288.3071147224,3709.99750132764
VGG16,True,0.7488,0.64265,0.6189,0.8166748315811158,1.2455482342720032,1.3442057991027831,2464782.1314870436,3711.13470347364
VGG16 BatchNorm,False,0.9371333333333334,0.5347500000000001,0.4828,0.1909191774129867,2.4221944744110107,2.778366502189636,1852884.7241063481,4373.74524544596
VGG16 BatchNorm,True,0.6798666666666667,0.5769000000000001,0.4745,1.1099412879308064,1.5076996601104735,2.01049414806366,3027960.7975972835,4377.83132345976
VGG16,False,0.9843,0.34445,0.3114,0.0533724160432815,4.095138963317871,4.319956890869141,1100335.9629514515,3702.2274705186
VGG16,True,0.7543000000000001,0.6455500000000001,0.6158,0.8094257540702819,1.239827770614624,1.3448286125183109,2579453.4682978354,3695.9449434649205
VGG16 BatchNorm,False,0.9354,0.5346500000000001,0.5008,0.1959134292085965,2.464106019973755,2.6962931694030763,1754335.833847925,4366.44794387376
VGG16 BatchNorm,True,0.6808666666666667,0.5759000000000001,0.4805,1.1000503508885702,1.5159203662872314,2.0041590324401857,3119406.9348748513,4350.30129691812
