Model,Accuracy test,Energy train,Energy test
Decision Tree,0.6747,697.4842106364379,6.984688008788069
Decision Tree,0.6747,697.861115285235,6.645939613201962
Decision Tree,0.6747,703.6783253210028,6.3565253432901905
Decision Tree,0.6747,727.1223153935366,7.9549372795238416
Decision Tree,0.6747,746.537568613691,6.481071079663701
Decision Tree,0.6747,690.0223871350203,6.032816731236511
Decision Tree,0.6747,696.13906484046,6.1926570806939925
Decision Tree,0.6747,700.7098121415303,6.2086894599478715
Decision Tree,0.6747,686.8568770703622,6.077310120611015
Decision Tree,0.6747,685.93953611753,6.064114330530908
Decision Tree,0.6747,692.0929457276019,6.015102921475162
Decision Tree,0.6747,693.0528205071632,6.007662198078024
Decision Tree,0.6747,697.8788034882105,9.957522727856814
Decision Tree,0.6747,682.1572887857432,6.123408225913137
Decision Tree,0.6747,711.9935060002908,10.143132181879484
Decision Tree,0.6747,692.8036177459895,8.889644744937776
Decision Tree,0.6747,706.4827233900648,7.174499053139767
Decision Tree,0.6747,698.6405720926633,10.44156610596184
Decision Tree,0.6747,687.5533210444247,7.472185242827872
Decision Tree,0.6747,706.4568324123468,10.25110913710966
Decision Tree,0.6747,717.6116441419487,10.663518100864572
Decision Tree,0.6747,699.9894651435777,9.205867863251184
Decision Tree,0.6747,678.2608767987962,9.518632727072971
Decision Tree,0.6747,682.2264842278421,7.3246742108730345
Decision Tree,0.6747,718.4644348757029,10.27881579236208
Decision Tree,0.6747,706.3010036404341,10.496470396162618
Decision Tree,0.6747,722.7345526013024,8.714693389688536
Decision Tree,0.6747,711.4585065351987,7.162934440564684
Decision Tree,0.6747,706.5847652512841,6.572131424476048
Decision Tree,0.6747,675.1252074929708,6.714947228079349
Random Forest,0.6233,99.48797006914094,11.693053241371047
Random Forest,0.6233,101.39284042624652,9.531784897458119
Random Forest,0.6233,106.3921889179629,11.322013712507168
Random Forest,0.6233,102.79997715256445,9.218999669597142
Random Forest,0.6233,101.90360740245478,11.652904729662678
Random Forest,0.6233,100.92229286618722,10.41234138823635
Random Forest,0.6233,114.84370875328334,10.562279261372295
Random Forest,0.6233,104.43817012730523,8.943851985304743
Random Forest,0.6233,104.68739942638061,12.977733607185742
Random Forest,0.6233,116.31573894752039,10.179120802687793
Random Forest,0.6233,101.00268604257442,8.166243131708196
Random Forest,0.6233,102.82598825027802,7.92537560272149
Random Forest,0.6233,99.31617232630539,12.136881508790214
Random Forest,0.6233,109.18648437374883,8.363399034760512
Random Forest,0.6233,123.83620687965279,8.484424795019455
Random Forest,0.6233,105.07991734470258,8.13184019596963
Random Forest,0.6233,100.65055730709516,11.286720883764202
Random Forest,0.6233,104.10614826811144,10.507072813591655
Random Forest,0.6233,100.80324781463348,11.85852585814073
Random Forest,0.6233,102.34659852119802,10.971871791640819
Random Forest,0.6233,112.43000959488636,10.640904486924274
Random Forest,0.6233,98.67269109957974,10.674359732484294
Random Forest,0.6233,103.18561781769667,7.869481196478382
Random Forest,0.6233,99.97162630249778,8.285305871015838
Random Forest,0.6233,98.20884294178352,8.122264145957802
Random Forest,0.6233,98.33724577666244,8.052545752815949
Random Forest,0.6233,102.01342753804981,8.045014982242074
Random Forest,0.6233,102.19070760439487,10.938897524903444
Random Forest,0.6233,102.81810510610714,11.02031699523811
Random Forest,0.6233,98.48621569718428,10.149299777959701
AdaBoost,0.5756,7710.658769376966,76.01388674528494
AdaBoost,0.5756,7651.638891012722,74.32532468884087
AdaBoost,0.5756,7584.712480310743,79.37733746814011
AdaBoost,0.5756,7551.567741451628,72.38771488714991
